"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019"
832,"JEY","Jersey",0.010863599,0.010065717,0.010522499,0.010177709,0.009446769,0.009143771,0.00922505,0.009049016,0.009050296,0.007611644,0.007230501,0.008182604,0.006948806,0.006947394,0.005280555,0.005879812,0.004889886
400,"JOR","Jordan",0.062176274,0.063293425,0.063631621,0.064562597,0.062887776,0.062689918,0.061271579,0.061379896,0.061663763,0.062342018,0.060928019,0.0639132,0.063148325,0.063171064,0.065898906,0.064155495,0.063112402
398,"KAZ","Kazakhstan",0.012648382,0.013015433,0.013263582,0.012160714,0.011988671,0.012652219,0.011426647,0.011651152,0.011697328,0.01223754,0.010636526,0.01073449,0.010639139,0.010709195,0.010492363,0.010529701,0.010324741
404,"KEN","Kenya",0.003158434,0.003467255,0.003886755,0.003764438,0.004069228,0.004091691,0.004058517,0.004182193,0.004238482,0.004402487,0.004377635,0.004449239,0.004518618,0.004558937,0.004425544,0.004523886,0.00445843
296,"KIR","Kiribati",0.0001601,0.000160567,0.000165484,0.000158558,0.000163048,0.000164001,0.00016576,0.000169999,0.000167126,0.000167738,0.000179476,0.000182433,0.000153973,0.000180063,0.000177457,0.000175084,0.000143269
689,"XKX","Kosovo",0.023539268,0.022905823,0.02288413,0.020756583,0.020115623,0.018057413,0.016490679,0.014775489,0.014967125,0.014372648,0.013055183,0.011884284,0.011302148,0.01039217,0.01024092,0.009843656,0.009026866
414,"KWT","Kuwait",0.148947506,0.159413164,0.158029692,0.155630628,0.152732418,0.149188752,0.15158509,0.163523832,0.141862655,0.149106857,0.143528979,0.144076235,0.142440473,0.141685742,0.146814387,0.136264448,0.139207538
417,"KGZ","Kyrgyzstan",0.005474714,0.005524273,0.005584035,0.005959376,0.0064652,0.006949896,0.007237108,0.007713605,0.007864337,0.007951873,0.007610729,0.007703212,0.007495694,0.007417062,0.007352176,0.00723343,0.007168423
418,"LAO","Laos",0.003554576,0.004563274,0.004318795,0.004294764,0.00509261,0.004133013,0.004615977,0.005401962,0.004167488,0.004750156,0.004729657,0.005043814,0.004806717,0.005856617,0.004300418,0.004248018,0.005156534
428,"LVA","Latvia",0.00234508,0.002340691,0.002468822,0.002716354,0.002735999,0.003028898,0.003123755,0.003434829,0.003297218,0.003291152,0.003463519,0.003389988,0.003223652,0.003258337,0.002898831,0.003095844,0.002954692
