"code","iso","country","CDL.raw.2001","CDL.raw.2002","CDL.raw.2003","CDL.raw.2004","CDL.raw.2005","CDL.raw.2006","CDL.raw.2007","CDL.raw.2008","CDL.raw.2009","CDL.raw.2010","CDL.raw.2011","CDL.raw.2012","CDL.raw.2013","CDL.raw.2014","CDL.raw.2015","CDL.raw.2016","CDL.raw.2017"
250,"FRA","France",15333.82,14448.298,11365.079,31936.01,19210.33,22578.305,19779.532,34220.504,25269.19,51191.61,23304.294,29912.474,14600.176,19726.039,14040.563,26926.871,29052.184
258,"PYF","French Polynesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
266,"GAB","Gabon",11238.432,10454.494,12520.736,7562.511,13224.278,14705.061,12507.128,12888.392,13513.057,7825.531,13408.934,13090.673,34159.61,36094.37,18743.245,23492.387,28317.567
270,"GMB","Gambia",207.321,1100.614,76.285,274.47,261.598,112.609,317.672,588.375,268.71,290.989,149.994,254.422,605.542,645.508,215.012,108.74,285.804
268,"GEO","Georgia",253.956,196.142,105.569,711.324,207.311,195.49,364.551,271.924,157.82,321.427,177.971,178.307,121.412,28.897,-9.224,222.25,67.546
276,"DEU","Germany",5555.843,5510.937,2092.897,16166.435,14172.906,15091.067,33381.002,21844.773,9753.814,26513.068,11550.592,8550.705,5054.622,7080.304,3471.288,9076.803,11241.021
288,"GHA","Ghana",34624.324,58237.797,20377.33,14180.916,34349.892,22964.153,34324.624,32789.692,33877.239,17359.873,29745.001,30467.239,84285.348,110587.148,52960.037,103579.029,115292.243
300,"GRC","Greece",4689.422,1885.424,970.686,2507.173,1605.947,2736.367,18472.369,7799.222,2371.444,2898.843,2284.64,4842.693,3095.248,1913.554,1684.147,2735.65,4926.307
304,"GRL","Greenland",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
308,"GRD","Grenada",19.631,35.732,38.353,385.58,29.166,17.105,34.696,33.908,57.685,88.762,23.273,23.353,13.305,36.161,3.464,36.116,9.626
320,"GTM","Guatemala",33447.561,36219.11,59254.387,34736.645,61155.929,32875.664,76978.169,48243.771,53076.525,36991.596,25292.701,52744.887,35660.241,40496.642,34812.913,116454.076,52531.161
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",13388.697,21344.403,6353.577,14196.76,12302.891,10878.813,26348.442,16959.022,19170.325,19088.049,19994.117,20086.09,115019.018,104821.413,130102.068,171234.205,198731.422
624,"GNB","Guinea-Bissau",1594.967,3843.15,804.259,2901.033,3433.78,1693.711,4467.909,2074.246,5506.934,3239.652,3083.327,3364.648,18960.044,9145.272,9376.041,13231.135,13528.196
328,"GUY","Guyana",5845.731,2810.609,4334.825,2440.651,3372.393,3464.588,3112.382,5798.089,4806.571,6068.168,5196.64,8342.501,4421.256,7711.8,8072.782,15641.51,11848.746
332,"HTI","Haiti",1450.541,1244.948,637.697,1411.118,1208.065,711.148,1239.182,1262.741,1510.757,1281.362,1495.992,2695.871,2283.444,2695.591,1990.55,11723.709,3443.89
336,"VAT","Holy See",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
340,"HND","Honduras",25191.716,18980.108,20846.34,15870.06,26134.588,26163.63,25859.308,27534.932,32795.95,29742.654,32579.812,20056.49,28153.181,38190.868,32216.223,111803.137,72894.505
344,"HKG","Hong Kong",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
348,"HUN","Hungary",2672.358,2659.744,1828.076,4066.113,3427.82,2498.99,2985.749,2811.237,3155.232,3547.007,2382.899,3853.654,2828.207,5567.027,3562.687,5172.44,5180.631
352,"ISL","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,"IND","India",31446.681,27527.878,24762.668,39941.759,32952.433,36512.689,40562.091,45743.612,40788.075,27336.407,47934.497,54348.731,53943.557,89635.95,74809.958,116125.682,131016.741
360,"IDN","Indonesia",612689.554,696264.239,442679.114,1060262.189,973963.161,1181088.063,1156409.757,1153894.388,1582942.504,1036744.478,1250550.004,1862939.296,958253.742,1610342.519,1465959.577,2067434.31,1122887.911
364,"IRN","Iran",163.659,286.253,160.598,165.638,96.353,85.19,80.57,186.035,98.647,109.386,117.698,201.333,96.239,68.077,-7.784,-5.669,66.546
368,"IRQ","Iraq",6.86,9.173,11.857,2.329,4.145,2.671,4.999,6.083,6.894,3.187,3.538,10.814,35.129,5.701,-1.693,-1.014,-1.843
372,"IRL","Ireland",3425.208,1818.576,650.417,2286.64,2674.268,1561.476,3998.485,2055.018,2095.36,812.723,482.236,1412.614,1263.58,1438.805,882.831,2907.085,1593.887
833,"IMN","Isle of Man",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
376,"ISR","Israel",33.991,27.448,4.959,17.658,31.945,43.804,11.558,14.212,23.115,14.768,209.695,14.364,45.824,85.172,15.143,24.513,53.586
380,"ITA","Italy",3849.737,4181.414,1403.829,6739.358,4125.581,3452.35,4283.298,5684.214,5510.751,5703.154,4115.823,8125.907,6908.324,8850.454,6433.732,11254.612,16551.849
388,"JAM","Jamaica",718.308,1036.963,620.409,2168.136,3940.18,1595.451,772.915,1149.964,2123.279,1450.367,1363.928,1594.244,808.575,1846.836,1825.156,1032.96,1425.237
392,"JPN","Japan",9265.592,10125.833,7597.925,14474.04,14096.538,14858.592,17325.259,15360.544,15449.277,13258.142,13113.889,16839.026,8363.264,10258.821,11474.826,21129.67,17890.93
832,"JEY","Jersey",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
400,"JOR","Jordan",0.379,0.518,0.415,1.03,0.083,0.314,0.377,1.394,0.177,0.595,0.497,0.492,2.153,0.668,0.535,-0.013,0.263
398,"KAZ","Kazakhstan",3516.136,2144.968,2390.383,4387.479,1924.866,2106.231,3185.102,2204.525,2818.609,1387.409,2427.042,1581.705,1333.824,78.041,-173.548,334.161,246.982
404,"KEN","Kenya",7220.812,8069.163,6388.017,7521.375,6909.737,8954.015,10027.332,8904.94,8934.295,8673.336,6711.379,8420.796,8036.046,9890.39,5897.667,9035.512,11095.256
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
414,"KWT","Kuwait",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-0.001,0.019,-0.001,-0.001,-0.001,-0.001
417,"KGZ","Kyrgyzstan",288.122,193.777,70.966,122.893,53.706,79.405,72.685,65.683,141.542,136.588,62.012,136.89,64.167,6.676,-4.238,2.035,23.329
418,"LAO","Laos",17541.865,28144.265,40814.574,31135.737,31691.543,57310.66,64970.654,38075.934,70379.667,78231.332,64354.235,73427.155,100088.063,119302.461,135668.82,189412.358,170692.548
428,"LVA","Latvia",8714.314,10158.642,7251.139,10446.604,13987.471,13316.132,12238.747,9773.305,11746.438,16528.924,15178.571,11411.682,9245.556,10888.513,10421.539,15778.594,16487.008
422,"LBN","Lebanon",107.745,31.663,26.493,40.892,102.28,49.923,87.15,145.46,125.17,36.726,51.515,56.408,75.085,64.14,64.31,123.683,168.222
426,"LSO","Lesotho",1.916,3.326,2.573,3.665,2.541,1.702,2.082,3.354,2.474,1.71,4.245,2.134,12.982,19.991,-0.946,19.948,2.782
430,"LBR","Liberia",21638.453,42435.603,16117.82,4564.855,8298.39,26940.261,32784.463,26626.801,55455.166,14576.822,25042.522,52993.514,115653.683,121762.656,138232.6,124607.421,150952.764
434,"LBY","Libya",14.217,43.669,21.835,16.512,16.952,24.445,7.569,6.379,9.914,4.69,10.371,17.876,158.696,59.146,1.614,0.564,10.992
438,"LIE","Liechtenstein",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
440,"LTU","Lithuania",2746.237,3510.173,2927.816,4372.604,6910.823,5845.2,5325.382,5017.673,4682.757,7251.39,7266.177,5786.118,4531.878,5373.352,5378.234,9228.264,9324.682
442,"LUX","Luxembourg",25.684,29.57,36.658,110.541,19.609,128.175,175.461,349.712,70.395,312.287,149.059,150.812,112.51,144.926,109.32,205.148,180.947
446,"MAC","Macao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
450,"MDG","Madagascar",50729.604,51833.235,50686.309,49764.062,51692.935,36024.021,103628.211,64795.007,71653.489,52715.881,83008.743,65917.889,189549.703,240848.612,182024.014,245607.212,315549.293
454,"MWI","Malawi",1616.723,2228.941,4031.873,3526.26,6320.308,3107.298,4494.454,5905.239,2380.253,2215.736,5324.937,5615.579,6470.624,9903.422,5950.756,7471.994,9178.223
458,"MYS","Malaysia",281057.691,259811.466,152136.628,290589.29,307125.961,271262.944,328879.008,295845.08,504990.68,341892.126,371852.682,507396.491,270395.983,539901.787,376057.044,480242.324,411733.175
462,"MDV","Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,"MLI","Mali",1902.765,2760.589,699.392,7807.542,4608.21,8638.54,5237.263,5824.59,6215.161,2208.151,10480.46,7272.463,10815.337,8327.062,6332.417,5247.437,11521.646
